case,entities,variant,seed,threads,samples,median_ns_per_unit,ci_low_ns_per_unit,ci_high_ns_per_unit,cv_percent,state_bytes,median_elapsed_seconds,speedup_vs_openmp_p1,efficiency,checksum,pair_evaluations,pair_list_rebuilds,pair_list_bytes
continuous/predator-prey/400k,400000,serial,32,1,5,111.320103,110.286448,111.358071,0.418851,26400012,0.445280412,0.990688,,5b6defc4e584fa19,6553746,1,23366276
continuous/predator-prey/400k,400000,openmp,32,1,5,110.283500,109.680313,110.498525,0.281810,26400012,0.441134000,1.000000,1.000000,5b6defc4e584fa19,6553746,1,23366276
continuous/predator-prey/400k,400000,openmp,32,2,5,81.299509,80.252022,82.045249,0.958810,26400012,0.325198036,1.356509,0.678254,5b6defc4e584fa19,6553746,1,23366276
continuous/predator-prey/400k,400000,openmp,32,4,5,66.279079,65.657176,66.327310,0.444060,26400012,0.265116316,1.663926,0.415982,5b6defc4e584fa19,6553746,1,23366276
continuous/predator-prey/400k,400000,openmp,32,8,5,59.458168,58.882347,60.038952,0.702846,26400012,0.237832672,1.854808,0.231851,5b6defc4e584fa19,6553746,1,23366276
continuous/predator-prey/400k,400000,serial,33,1,5,110.769899,110.043170,110.974421,0.323780,26400012,0.443079596,0.997114,,932e379997d6c1a6,6551379,1,23365076
continuous/predator-prey/400k,400000,openmp,33,1,5,110.450203,109.827049,111.098984,0.515458,26400012,0.441800812,1.000000,1.000000,932e379997d6c1a6,6551379,1,23365076
continuous/predator-prey/400k,400000,openmp,33,2,5,81.164282,80.912768,81.545723,0.282361,26400012,0.324657128,1.360823,0.680411,932e379997d6c1a6,6551379,1,23365076
continuous/predator-prey/400k,400000,openmp,33,4,5,65.427365,64.703556,65.940171,0.729219,26400012,0.261709460,1.688135,0.422034,932e379997d6c1a6,6551379,1,23365076
continuous/predator-prey/400k,400000,openmp,33,8,5,59.951773,59.569220,60.138119,0.366902,26400012,0.239807092,1.842318,0.230290,932e379997d6c1a6,6551379,1,23365076
continuous/predator-prey/800k,800000,serial,31,1,5,120.304074,120.222026,121.170533,0.325323,52800012,0.962432592,0.997932,,41e8d94f545145f5,13093589,1,46719948
continuous/predator-prey/800k,800000,openmp,31,1,5,120.055228,119.840464,121.705797,0.682773,52800012,0.960441824,1.000000,1.000000,41e8d94f545145f5,13093589,1,46719948
continuous/predator-prey/800k,800000,openmp,31,2,5,94.926599,94.707062,95.779101,0.461208,52800012,0.759412792,1.264716,0.632358,41e8d94f545145f5,13093589,1,46719948
continuous/predator-prey/800k,800000,openmp,31,4,5,75.464143,75.135847,76.354616,0.636872,52800012,0.603713144,1.590891,0.397723,41e8d94f545145f5,13093589,1,46719948
continuous/predator-prey/800k,800000,openmp,31,8,5,65.394011,64.776700,65.603814,0.508406,52800012,0.523152088,1.835875,0.229484,41e8d94f545145f5,13093589,1,46719948
continuous/predator-prey/800k,800000,serial,32,1,5,120.750535,120.225222,121.008475,0.249991,52800012,0.966004280,0.999346,,ebac6b7e7bf7f8b6,13098110,1,46714676
continuous/predator-prey/800k,800000,openmp,32,1,5,120.671591,120.582007,121.232885,0.217297,52800012,0.965372728,1.000000,1.000000,ebac6b7e7bf7f8b6,13098110,1,46714676
continuous/predator-prey/800k,800000,openmp,32,2,5,94.920387,94.232377,97.730936,1.430333,52800012,0.759363096,1.271293,0.635646,ebac6b7e7bf7f8b6,13098110,1,46714676
continuous/predator-prey/800k,800000,openmp,32,4,5,77.352442,77.037562,77.446860,0.209549,52800012,0.618819536,1.560023,0.390006,ebac6b7e7bf7f8b6,13098110,1,46714676
continuous/predator-prey/800k,800000,openmp,32,8,5,65.335079,64.965905,83.157461,11.544838,52800012,0.522680632,1.846965,0.230871,ebac6b7e7bf7f8b6,13098110,1,46714676
continuous/predator-prey/800k,800000,serial,33,1,5,120.956409,120.722168,121.273474,0.204720,52800012,0.967651272,0.994197,,f75c793ffbaae1c8,13103591,1,46738452
continuous/predator-prey/800k,800000,openmp,33,1,5,120.254451,119.849515,120.448580,0.199720,52800012,0.962035608,1.000000,1.000000,f75c793ffbaae1c8,13103591,1,46738452
continuous/predator-prey/800k,800000,openmp,33,2,5,94.378104,94.174907,94.941230,0.379103,52800012,0.755024832,1.274177,0.637089,f75c793ffbaae1c8,13103591,1,46738452
continuous/predator-prey/800k,800000,openmp,33,4,5,75.618224,75.530514,76.065189,0.291597,52800012,0.604945792,1.590284,0.397571,f75c793ffbaae1c8,13103591,1,46738452
continuous/predator-prey/800k,800000,openmp,33,8,5,66.286590,65.777801,68.702422,1.731456,52800012,0.530292720,1.814160,0.226770,f75c793ffbaae1c8,13103591,1,46738452
