code	longitude	latitude	country	ourairports_id	ourairports_ident	ourairports_iata	ourairports_type	openflights_airport_id	openflights_route_id
PBH	89.424599	27.4032	BTN	26632	VQPR	PBH	large_airport	3155	3155
KBL	69.212303	34.565899	AFG	5072	OAKB	KBL	large_airport	2050	2050
CCU	88.44765	22.654012	IND	26496	VECC	CCU	large_airport	3043	3043
HYD	78.429855	17.231318	IND	35141	VOHS	HYD	large_airport	12087	\N
COK	76.400838	10.151047	IND	26609	VOCI	COK	large_airport	3136	3136
AMD	72.634697	23.0772	IND	26431	VAAH	AMD	large_airport	2994	2994
ADL	138.533393	-34.947512	AUS	27096	YPAD	ADL	large_airport	3341	3341
CBR	149.195007	-35.3069	AUS	27131	YSCB	CBR	medium_airport	3355	3355
DRW	130.88185	-12.41497	AUS	27101	YPDN	DRW	large_airport	3999	3999
HBA	147.513022	-42.837032	AUS	27058	YMHB	HBA	large_airport	3336	3336
OOL	153.506641	-28.165962	AUS	26902	YBCG	OOL	large_airport	3321	3321
NAN	177.437843	-17.761822	FJI	4959	NFFN	NAN	large_airport	1960	1960
POM	147.220001	-9.443380	PNG	67	AYPY	POM	large_airport	5	5
ACC	-0.166786	5.605190	GHA	2090	DGAA	ACC	large_airport	248	248
CMN	-7.58997	33.3675	MAR	3113	GMMN	CMN	large_airport	1074	1074
ALG	3.214531	36.693886	DZA	2050	DAAG	ALG	large_airport	210	210
TUN	10.2272	36.851002	TUN	2133	DTTA	TUN	large_airport	287	287
DAR	39.207288	-6.873499	TZA	3251	HTDA	DAR	large_airport	1177	1177
FCO	12.251998	41.804532	ITA	4372	LIRF	FCO	large_airport	1555	1555
BCN	2.07846	41.2971	ESP	4004	LEBL	BCN	large_airport	1218	1218
ATH	23.9445	37.936401	GRC	4251	LGAV	ATH	large_airport	3941	3941
LIS	-9.13592	38.7813	PRT	4461	LPPT	LIS	large_airport	1638	1638
WAW	20.9671	52.165699	POL	2637	EPWA	WAW	large_airport	679	679
KBP	30.894699	50.345001	UKR	6467	UKBB	KBP	large_airport	2939	2939
