source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
HKG	SFO	0	international	OpenSky-2020-01	320	0.6865	2019-12-31 14:48:26+00:00	CPA	VHHH	KSFO			
DXB	CDG	8	international	OpenSky-2020-01	318	0.6858	2019-12-31 18:13:58+00:00	UAE	OMDB	LFPG	AF	2188	1382
CLT	IAH	0	domestic	OpenSky-2020-01	317	0.6854	2019-12-31 22:35:55+00:00	AAL	KCLT	KIAH			
TPE	LAX	0	international	OpenSky-2020-01	317	0.6854	2019-12-31 16:53:17+00:00	CAL	RCTP	KLAX			
BCN	CDG	0	international	OpenSky-2020-01	315	0.6847	2020-01-01 05:42:19+00:00	AFR	LEBL	LFPG			
AMS	SVO	0	international	OpenSky-2020-01	312	0.6835	2019-12-31 20:52:40+00:00	AFL	EHAM	UUEE			
LGW	FCO	0	international	OpenSky-2020-01	312	0.6835	2020-01-01 07:01:13+00:00	EZY	EGKK	LIRF			
SVO	FRA	0	international	OpenSky-2020-01	312	0.6835	2020-01-01 05:56:31+00:00	AFL	UUEE	EDDF			
SVO	LHR	0	international	OpenSky-2020-01	309	0.6824	2019-12-31 22:36:46+00:00	AFL	UUEE	EGLL			
CCU	BKK	0	international	OpenSky-2020-01	306	0.6812	2019-12-31 22:18:04+00:00	THA	VECC	VTBS	6E	3043	3885
FRA	FCO	0	international	OpenSky-2020-01	306	0.6812	2020-01-01 07:56:34+00:00	DLH	EDDF	LIRF			
LHR	MIA	0	international	OpenSky-2020-01	306	0.6812	2019-12-31 22:48:17+00:00	AAL	EGLL	KMIA			
PRG	CDG	0	international	OpenSky-2020-01	305	0.6809	2020-01-01 06:49:51+00:00	CSA	LKPR	LFPG			
BCN	LGW	0	international	OpenSky-2020-01	303	0.6801	2020-01-01 06:30:33+00:00	VLG	LEBL	EGKK			
LIS	LHR	0	international	OpenSky-2020-01	303	0.6801	2020-01-01 07:40:48+00:00	TAP	LPPT	EGLL			
LHR	YYZ	8	international	OpenSky-2020-01	303	0.6801	2019-12-31 17:30:17+00:00	ACA	EGLL	CYYZ	AA	507	193
